id	chapter	topic	kind	front	answer	explanation	common_trap	difficulty	tags
ch01-001	1	GDP definition	recall	What is gross domestic product (GDP)?	The market value of all final goods and services produced within a country during a specified period.	Every word matters: market value lets unlike products be added; final avoids double counting; produced means current production; within a country makes GDP a location-based measure; and the period makes GDP a flow.	Do not define GDP as everything bought or sold. Used goods and many financial transactions are not current production.	1	definition,high-yield
ch01-002	1	GDP definition	mcq	Which is the best definition of annual GDP?	The market value of all final goods and services produced within the country during the year.	The course lecture explicitly uses this as a discrimination question. “Purchased” is too narrow because inventories can be produced without final sale; “bought and sold” incorrectly includes second-hand transactions.	Watch for the words final, produced, within the country, and during the period.	1	mcq,definition
ch01-003	1	GDP and second-hand goods	scenario	You sell a used textbook to another student. Is the sale included in current GDP?	No.	The book was counted when it was newly produced. A resale merely transfers ownership of an existing asset and does not represent new production in the current period.	A fee paid to a current-period intermediary for arranging a used-good sale could be current production, even though the used good itself is not.	1	classification,GDP
ch01-004	1	GDP and imports	scenario	An Australian household buys a newly produced book directly from the UK. How does it enter Australian GDP?	It is consumption and an import; the import subtraction offsets the consumption, so it does not add to Australian GDP.	In Y = C + I + G + X - M, the purchase may first appear in C, but because the good was produced abroad it also appears in M. Subtracting M ensures GDP measures domestic production.	“Imports reduce GDP” is sloppy: the subtraction removes foreign production already embedded in C, I, or G.	2	classification,net-exports
ch01-005	1	Intermediate goods	recall	Why are intermediate goods not added separately to GDP?	To avoid double counting.	Their value is embodied in the value of the final good. GDP can equivalently be calculated by summing value added at each stage of production.	An intermediate good produced this period still contributes to GDP through the producer’s value added; it is just not counted twice.	2	value-added,GDP
ch01-006	1	Value added	formula	How do you calculate a firm’s value added?	Value added = value of sales/output - value of intermediate inputs purchased from other firms.	Summing value added across all domestic producers gives the production-side measure of GDP. Wages, profits and other primary incomes are paid out of value added.	Do not subtract wages as an intermediate input; labour is a factor of production, not an intermediate good.	2	formula,value-added
ch01-007	1	Expenditure GDP	formula	State the expenditure identity for GDP.	Y = C + I + G + NX = C + I + G + X - M.	C is household consumption, I is investment, G is government purchases of goods and services, and NX is exports minus imports. The identity is an accounting identity, not a behavioural theory.	Transfers and government interest payments are not G because they are not purchases of newly produced final goods or services.	1	formula,high-yield
ch01-008	1	Consumption	classification	What belongs in C in the expenditure approach?	Household purchases of newly produced final goods and services, except new residential construction.	Consumption includes durable and nondurable goods and services purchased by households. The course classifies new dwellings as investment, even though households buy them.	A household buying shares or an existing house is not consumption expenditure on current production.	2	GDP-components
ch01-009	1	Investment	classification	What belongs in macroeconomic investment I?	Business fixed investment, new dwelling/residential construction, and inventory investment.	Investment means production of new capital goods or additions to inventories, not the purchase of existing financial assets. Inventory investment is the change in inventory stocks over the period.	Buying shares is saving/portfolio investment in ordinary language, but not I in the GDP expenditure identity.	1	GDP-components,investment
ch01-010	1	Inventory investment	calculation	Beginning inventories are 100 and end-of-period inventories are 75. What is inventory investment?	-25.	Inventory investment is end stock minus beginning stock: 75 - 100 = -25. Negative inventory investment means inventories were run down during the period.	Do not use the level of inventories as investment; use the change in the stock.	2	calculation,investment
ch01-011	1	Government spending	classification	Which government payments count as G in GDP?	Government purchases of newly produced goods and services.	Government consumption and public investment count. Transfer payments and interest on government debt do not directly count because no current good or service is received in exchange.	A transfer may later finance household C, but the transfer itself is not G.	2	GDP-components,government
ch01-012	1	Net exports	formula	How are net exports defined?	NX = X - M.	Exports are domestically produced goods and services purchased by foreigners and add to domestic production. Imports are foreign production and are subtracted to remove them from other expenditure categories.	A trade deficit means NX < 0; it does not mean exports are zero.	1	formula,international
ch01-013	1	GDP vs GNI	recall	What is the core distinction between GDP and GNI?	GDP is based on where production occurs; GNI is based on income accruing to a country’s residents/owned factors of production.	A foreign worker producing in Australia contributes to Australian GDP, but the income sent to the foreign-owned factor is removed when moving from GDP to GNI. Conversely, income earned by Australian-owned factors abroad is added.	Nationality of the producer is not what determines GDP; location of production does.	2	GDP,GNI
ch01-014	1	Nominal vs real GDP	recall	What is the difference between nominal and real GDP?	Nominal GDP values current production at current prices; real GDP values production using a common set of prices so that changes reflect quantities rather than price changes.	Nominal GDP can rise because quantities, prices, or both rose. Real GDP is the relevant measure for changes in aggregate production over time.	Do not infer real growth from nominal growth without controlling for prices.	1	nominal-real,GDP
ch01-015	1	Real GDP	calculation	How do you calculate real GDP using a fixed base year?	Multiply each current-year quantity by its base-year price, then sum across goods and services.	Using a common price vector isolates the quantity change. Different base years can give different real growth rates because relative prices change, which motivates chain weighting.	The base year determines the prices, not the quantities.	2	calculation,real-GDP
ch01-016	1	Chain weighting	recall	Why does the course use chain-weighted real GDP growth?	Because growth measured with one fixed set of prices can depend heavily on the chosen base year; chain weighting averages adjacent-year growth measures using both years’ prices.	The worksheet has you compute real growth with 2019 prices and with 2020 prices, then average the two. Chaining reduces base-year distortion and better reflects changing relative prices.	Do not average nominal and real growth; average the two real growth rates constructed with adjacent price sets.	3	real-GDP,chain-weighting
ch01-017	1	GDP deflator	formula	How is the GDP price index/deflator related to nominal and real GDP?	GDP price index = nominal GDP / real GDP (often multiplied by 100).	Rearranging gives real GDP = nominal GDP / price index when the index is written as a ratio rather than 100-based. The percentage change in the price index measures broad domestic-output inflation.	Keep track of whether the index is 1.13 or 113; the economics is the same but arithmetic differs by a factor of 100.	2	formula,price-level
ch01-018	1	CPI definition	recall	What does the CPI measure?	The cost of a fixed representative basket of consumer goods and services in the current period relative to its cost in a base period.	Fixing quantities is intended to isolate price changes. A common formula is CPI_t = cost of base-year basket at current prices / cost of base-year basket at base-year prices, with or without multiplying by 100.	The CPI basket is not the current year’s quantities when using the standard fixed-basket construction.	1	CPI,definition
ch01-019	1	Inflation	formula	How is the inflation rate calculated from a price index?	π_t = (P_t - P_{t-1}) / P_{t-1}, usually expressed as a percentage.	Inflation is the growth rate of the price level, not the price level itself. A falling but still positive inflation rate is disinflation; a negative inflation rate is deflation.	A CPI of 120 does not mean inflation is 20% this year unless the previous CPI was 100.	1	formula,inflation
ch01-020	1	CPI vs GDP deflator	contrast	Give two important differences between the CPI and GDP deflator.	CPI uses a fixed consumer basket and can include imported consumer goods; the GDP deflator covers domestically produced final output and its weights change with current production.	These measures can move differently when import prices change or when the composition of domestic production changes. CPI is designed as a cost-of-living measure for consumers; the GDP deflator is a price index for domestic output.	Do not assume the two price indexes use the same basket or geographical coverage.	3	CPI,GDP-deflator
ch01-021	1	CPI bias	recall	What is substitution bias in a fixed-basket CPI?	The CPI can overstate the rise in the true cost of living because consumers substitute away from goods whose relative prices rise.	A fixed basket assumes consumers keep buying the original quantities even when relative prices change. In reality, substitution can reduce the expenditure needed to maintain similar welfare.	This is different from quality bias: substitution concerns quantities chosen in response to relative prices.	2	CPI,bias
